name,description,phone,email,website,address_line,city,capacity
Hàng Đẫy Stadium,https://en.wikipedia.org/wiki/H%C3%A0ng_%C4%90%E1%BA%ABy_Stadium,,,,Ô Chợ Dừa,Hanoi,22500
Mỹ Đình National Stadium,https://en.wikipedia.org/wiki/M%E1%BB%B9_%C4%90%C3%ACnh_National_Stadium,,,,"1 Lê Đức Thọ Rd, Từ Liêm Ward",Hanoi,40192
Trống Đồng Stadium,https://en.wikipedia.org/wiki/Tr%E1%BB%91ng_%C4%90%E1%BB%93ng_Stadium,,,,Thượng Phúc,Hanoi,135000
Hanoi Indoor Games Gymnasium,https://en.wikipedia.org/wiki/Hanoi_Indoor_Games_Gymnasium,,,,"Trần Hữu Dực Street, Cầu Diễn Ward, Nam Từ Liêm District",Hanoi,3094
Mỹ Đình National Stadium,https://en.wikipedia.org/wiki/M%E1%BB%B9_%C4%90%C3%ACnh_National_Stadium,,,,"1 Lê Đức Thọ Rd, Từ Liêm Ward",Hanoi,40192
Cẩm Phả Stadium,https://en.wikipedia.org/wiki/C%E1%BA%A9m_Ph%E1%BA%A3_Stadium,,,,"Bái Tử Long Street, Cẩm Trung Ward, Cẩm Phả",Quảng Ninh Province,20000
Cần Thơ Stadium,https://en.wikipedia.org/wiki/C%E1%BA%A7n_Th%C6%A1_Stadium,,,,"Lê Lợi Boulevard, Ninh Kiều District",Cần Thơ,30000
Cao Lãnh Stadium,https://en.wikipedia.org/wiki/Cao_L%C3%A3nh_Stadium,,,,-1,Cao Lãnh,23000
Chi Lăng Stadium (2016),https://en.wikipedia.org/wiki/Chi_L%C4%83ng_Stadium_(2016),,,,-1,-1,20500
Chi Lăng Stadium (1954),https://en.wikipedia.org/wiki/Chi_L%C4%83ng_Stadium_(1954),,,,-1,Đà Nẵng,30000
Đồng Nai Stadium,https://en.wikipedia.org/wiki/%C4%90%E1%BB%93ng_Nai_Stadium,,,,"Phạm Văn Khoai Street, Tân Hiệp, Biên Hòa",Đồng Nai Province,30000
Gò Đậu Stadium,https://en.wikipedia.org/wiki/G%C3%B2_%C4%90%E1%BA%ADu_Stadium,,,,"Corner of Bình Dương Avenue, April 30th Street, Thủ Dầu Một ward",Ho Chi Minh City,18250
Hà Tĩnh Stadium,https://en.wikipedia.org/wiki/H%C3%A0_T%C4%A9nh_Stadium,,,,"Nam Hà Ward, Hà Tĩnh City",Hà Tĩnh,10000
Hàng Đẫy Stadium,https://en.wikipedia.org/wiki/H%C3%A0ng_%C4%90%E1%BA%ABy_Stadium,,,,Ô Chợ Dừa,Hanoi,22500
PVF Youth Football Training Center,https://en.wikipedia.org/wiki/PVF_Youth_Football_Training_Center,,,,Nghĩa Trụ,Hưng Yên,4500
